deserve,~할 만하다
till,~까지
until,~까지
undermine,"(능력이나 취지나..해온 일을) 훼손하다, ~밑을 파다"
precede,~에 앞서다
per,~에 의하여
despite,~에도 불구하고 모욕
consist,of ~으로 이루어지다
pollute,~을 더럽히다
utilize,~을 이용하다
except,~을 제외하고는 제외하다
ensure,~을 보장하다 확실히하다
alongside,~의 곁에
underlie,"기초가 되다, ~의 밑에 있다"
whether (or not),~인지 어떤지
though,~임에도 불구하고 그러나
unless,~하지 않으면 if not
intend,(+to)~할 작정이다
intention,n. 의도
via,"…을 거쳐, …을 경유하여"
through,(~을)통하여 통하여 직통의
tend,(~의)경향이 있다
jet,(가스등의)분출
fright,(갑자기 엄습하는)공포
frustrate,(계획 등을)좌절시키다
blossom,(과수의)꽃
choir,(교회의)성가대
amount,(금액이)~이 되다
mechanism,(기계)장치
chip,(나무)토막
blink,(눈을)깜빡거리다
chop,(도끼 등으로)자르다
pave,"v. (도로를)포장하다 pave the way : 길을 열어주다, 어떤 것을 쉽게 만들어주다"
flavor,(독특한)맛
habitat,(동물의)자연번식지
neither,nor (둘중)어느쪽도 ~아니다 ~도 아니다
slip,(때가)어느덧 지나가다
apply,v. 적용하다
peak,(뾰족한)끝
happen,(사건 등이)일어나다
blonde,(살결이 흰)금발의 여성
organ,(생물의)기관
assess,(세금 등을)사정하다
manipulate,조종하다 다루다
undergo,(영향 등을)받다
consensus,(의견 등의)일치
quit,"(의무,책임을)벗어난 떠나다"
oblige,(의무를)별수없이 ~하게하다
resort,to ~에 의지하다 기대다
broad,(폭이)넓은
quarter,분기
decade,10년간
teenage,10대
billion,10억
dozen,1다스
century,1세기
dose,1회복용량 투약하다
would,a. will의 과거
dare,a. 감히 ~하다
bit,bite의 과거(분사) 작은 조각
whereas,cnj. (~인) 까닭에
criteria,criterion의 복수형
notion,"n, 관념, 생각, 의견 (note에서 온것)"
instruct,가르치다
designate,"v. 가리키다, 지정하다"
hypothesis,가설
accelerate,가속하다 속도가 가해지다
domestic,가정의
presume,가정하다
arrange,가지런히 하다
worth,가치가 있는 가치
steep,가파른 ~에 담그다 잠기다 (ex) steep learning curve
respective,각각의
with respect to,"~에 대하여, ~와 관련해서"
interval,간격
interfere (with),간섭하다
appeal,간청하다
detect,간파하다
sensation,감각
sense,감각
supervise,감독하다
admire,감복하다
appreciate,"v. 감상하다, 감사하다"
decrease,감소하다
diminish,감소하다
infect,감염시키다
hide,감추다
intense,강렬한
discourse,"n. 강연, 담화"
press,v. 누르다 n. 언론사
constrain,강제하다
emphasis,강조
rob (of),"강탈하다, 약탈하다, 빼앗다"
equate,같게하다
likewise,"adv. ~같이, 마찬가지로"
concept,개념
improve,개선하다
personality,개성
individual,개인적
reform,개정(개혁)하다
objective,객관적인
adverse,adj. 불리한
adversity,n. 역경
enormous,거대한
hardly,거의 ~아니다
refuse,거절하다
reject,거절하다
reside,거주하다
dwell,거주하다
harsh,거친
rough,거친
anxious,걱정되는
construct,건조하다
architecture,건축
architect,건축가
bet,내기하다
inspect,검사하다
censor,검열하다
neglect,게을리 하다
aim,겨누다
rage,격노
violent,"격렬한, 맹렬한"
combat,격투하다
nut,견과. 미쳤나
endure,견디다
effect,결과
overcome,이기다
outcome,결과
eventually,결국
bond,결속
deficit,결손
fault,결점
decision,결정 (decide에서 온 단어)
crucial,결정적인
conclude,결정하다
conclusion,결론
determine,결정하다
deficiency,결핍
ought to,해야한다
immutable,변형불가한
conceive (of),상상하다 이해하다
dispose (of),버리다
deprive (of),빼앗다
eleborate,adj. 정교한 v. 설명하다
statistic,통계의 통계량
significant,중요한
criteria,표준
proxy,대리인
retrieve,(정보등을) 불러오다
anonymous,익명의
replicate,"복제하다, 재현하다 <~> 복제하다"
high level,거시적인
on the fly,즉흥적으로 (wing it)
union,결합
combine,결합하다
unite,결합하다
modest,겸손한
overlap,겹치다
boundary,경계
warn,경고하다
occasion,경우
marvel,경이 (marvelous)
wonder,경이
cultivate,경작하다
compete (with),경쟁하다
suffer (from),고통받다
tolerate (n. tolerance),"v. 참다, 내성있다."
estimate,v. 어림잡다 n. 추정
distinct,adj. 별개의
distinguish,v. 구별하다
several,수개의
archive,기록보관소 <~~> achieve 달성하다
redundancy,"불필요, 여분의"
remain,v. 남다 = keep
take into account,v. consider
logistics,실행 계획
refer (to),v. 참조하다
referral,n. 추천
cluster,n. 군집
downtime,유휴 시간
throughput,n. 처리량
aggregate,합계
bound,n. 경계 adj. 묶여있는
feasible,adj. 실현가능한
vast,"광대한, 광막한 막대한"
principle,"원리, 원칙, 법칙, 공리"
be likely to,~할 가능성이 많은
come into play,v. 실행에 옮기다
consistent (with),adj. 일관성 있는 => consistency
constantly,adv. 끊임없는
corresponding,adj. 상응하는
coherent (with),adj. 일관된
intuitive,adj. 직관적
order,n. 방정식 같은데서 차수... (ex) they are in the same order (둘다 차수가 같다)
continue,계속하다
maintain,v. 유지하다
scheme,계획
noble,고귀한
isolate,고립시키다
grateful,고맙게 생각하는
torture,고문
accuse (of),고발하다
devise,고안하다
employ,고용하다
hire,고용하다
proper,적절한
persist,고집하다 n. persistence 고집
furnish,공급하다
supply,공급하다
communist,공산주의자
fancy,v. 좋아하다 adj. 멋진 (스타일이 좋은)
polite,공손한
formula,공식
industry,공업
fair,공평한
republic,공화국
past,과거
curriculum,과목
exaggerate,과장하다
concern,관계하다 걱정하다 (concerned with)
relevant,관련된
convention,관례
administer,관리하다
manage,관리하다
aspect,관점
observe,관찰하다
locate,관청 등을 두다
orchestra,관현악단
spectacle,광경 adj. spectacular
sight,광경
advertize,광고하다
generous,광대한
tease,괴롭히다
bother,괴롭히다 근심하다 귀찮음
monster,괴물
boom,굉음
jail,교도소
prison,교도소
disturb,교란하다
negotiate,교섭하다
professor,교수
suburb,교외
educate,교육하다
revise,교정하다
traffic,교통
symphony,교향곡
exchange,교환하다
sphere,구
oral,구두의
roll,구르다
hole,구멍
flexible,구부리기 쉬운
bend,구부리다
component,구성하는 성분
constitute,구성하다
establish,확립하다
compose,구성하다
frame,구조
once,~때 ~하자마자
in terms of,~면에서 측면에서
structure,구조
concrete,구체적인
relieve,완화하다
measure,재다 측정하다
rescue,구하다
confine,가두다
phase,국면
premier,"국무 총리, 수상"
international,국제적인
military,군의
stiff,굳은
firm,굳은 완고한
starve,굶어 죽다
offer,권하다
annoy,귀찮게하다
regulate,규정하다
regular,규칙적인
rally,규합하다
moreover,그 위에
shade,그늘
meanwhile,그동안
meantime,그동안 그 사이에
then,그때
gather,그러모으다
hence,그러므로
therefore,그러므로
nevertheless,그럼에도 불구하고
cease,그만두다 그치다 중지
extreme,극단의
anxiety,근심
flaw,금
ban,n. 금지 v. 금지하다
inhibit,금하다
forbid,금하다
prohibit,"금하다, 금지하다"
haste,급함
term,기간
machine,기계
implement,구현하다
instrument,기구
fund,기금
monument,기념비
anniversary,기념일 예년의
agency,기능
function,기능
await,기다리다
lean,기대다
expect,기대하다
register,기록
breed,기르다
foster,기르다
contribute to,기부하다
describe,기술하다
decline,거절하다
incline,기울이다
faint,기절하다
basis,기초
foundation,기초
spacious,adj. 공간이 넓은
take part,v. 참여하다 어떤역할을 하다
workaround,n. 대안책
conflict,n. 갈등
compulsory,adj. 강제적인
integrity,"n. 온전함, 진실성, 통일성"
obligation,n. 의무
deprivation,n. 박탈
feasible,adj. 실현가능한 (n. feasibility)
obtain,얻다
consecutive,adj. 연이은
flip,튀기다 홱뒤집다
identical,아주 동일한
represent,표현(묘사)하다
fundamental,기초(기준)의
opportunity,기회
enterprise,기획
urgent,긴급한
route,길
patch,깁는 헝겊
profound,"깊은, 심오한"
shave,깎다
amaze,깜짝 놀라게 하다
realize,깨닫다
remark,v. 언급/말하다 n. 언급
extinct,"adj. 멸종한, 꺼진"
peel,껍질을 벗기다 벗어지다 껍질
leap,껑충 뛰다
twist,꼬이다
dis~ / un~ / im(in),not
a(b)~,not
anti ~,against / antisocial vs asocial
re~,again / reverse..반대
de~,down
be inclined to,adj. ~할 의향이 있는
matter,중요하다
pinch,꼬집다
summit,"꼭대기, 정상회담"
denounce,비난하다
induce,꾀다 / n. induction
complicate,v. 복잡하다 / complicated (수동태) : 복잡한
scold,꾸짖다 잔소리 심한 사람
sew,꿰매다
nod,끄덕이다
attract,끌어 당기다 유혹하다 / n. attraction
lift,끌어올리다
boil,끓다
tip,끝 / 'fingertip'
terminate,끝내다
edge,끝머리
convey,나르다
condemn,나무라다 비난하다 / 'damn'
stick,v. 붙다
advance,나아가다
proceed,"나아가다, 가다"
emerge,나타나다
appear,나타나다
disclose,나타내다 / n. disclosure
reveal,나타내다 / 'veal' 베일이라 생각 'gender reveal'
optimist,낙천가
pessimism,염세주의
disorder,난잡
embarrass,"난처하게 하다 / 헐크, you're embarrassing me"
wreck,난파
keen,날카로운
acute,심각한 급성의
